date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:55	107/107	---MCZ	200	added ('OK')	text/plain	date:Tue,%2009%20Jul%202024%2023:39:44%20GMT	https://noxxit.com/robots.txt		(from )
00:40:14	100764/100764	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jul%202024%2023:39:51%20GMT	https://noxxit.com/	C:/My%20Web%20Sites/noxxit.com/noxxit.com/index.html	(from )
00:40:18	146/146	---M--	403	error ('Forbidden')	text/html	date:Tue,%2009%20Jul%202024%2023:40:12%20GMT	https://noxxit.com/xmlrpc.php	C:/My%20Web%20Sites/noxxit.com/noxxit.com/xmlrpc.0.delayed	(from https://noxxit.com/)
00:40:21	2731/2731	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:08%20GMT	https://noxxit.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://noxxit.com/)
00:40:23	8624/8624	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e0be3a5e8b20427639d5e4cb709a2cae%22	https://noxxit.com/feed/	C:/My%20Web%20Sites/noxxit.com/noxxit.com/feed/index.html	(from https://noxxit.com/)
00:40:28	10378/10378	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2015:46:39%20GMT	https://noxxit.com/wp-content/plugins/element-ready-lite/assets/css/widgets.min.css?ver=1720568390	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/element-ready-lite/assets/css/widgets.minfc07.css	(from https://noxxit.com/)
00:40:28	134540/134540	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:04%20GMT	https://noxxit.com/wp-content/themes/essentials/inc/scss/bootstrap.min.css?ver=6.0.9	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/themes/essentials/inc/scss/bootstrap.minbfbf.css	(from https://noxxit.com/)
00:40:29	7103/7103	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e0be3a5e8b20427639d5e4cb709a2cae%22	https://noxxit.com/comments/feed/	C:/My%20Web%20Sites/noxxit.com/noxxit.com/comments/feed/index.html	(from https://noxxit.com/)
00:40:30	19820/19820	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:21:05%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.30.0	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine94d.css	(from https://noxxit.com/)
00:40:30	146740/146740	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:21:08%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://noxxit.com/)
00:40:32	16471/16471	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:21:04%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://noxxit.com/)
00:40:34	1111/1111	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:24:44%20GMT	https://noxxit.com/wp-content/uploads/elementor/css/post-13361.css?ver=1719649484	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/elementor/css/post-13361449c.css	(from https://noxxit.com/)
00:40:36	59344/59344	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:21:03%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.22.3	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mindcff.css	(from https://noxxit.com/)
00:40:39	26702/26702	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:21:03%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.22.3	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mindcff.css	(from https://noxxit.com/)
00:40:40	7651/7651	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2008:24:45%20GMT	https://noxxit.com/wp-content/uploads/elementor/css/post-3049.css?ver=1719649485	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/elementor/css/post-30497750.css	(from https://noxxit.com/)
00:40:42	1798/1798	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:04%20GMT	https://noxxit.com/wp-content/themes/essentials/css/build/flickity.min.css?ver=2.0.7	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/themes/essentials/css/build/flickity.min5d0a.css	(from https://noxxit.com/)
00:40:43	76324/76324	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:04%20GMT	https://noxxit.com/wp-content/themes/essentials/css/build/pixicon-main/style.min.css?ver=2.0.7	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/themes/essentials/css/build/pixicon-main/style.min5d0a.css	(from https://noxxit.com/)
00:40:46	22546/22546	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:04%20GMT	https://noxxit.com/wp-content/themes/essentials/css/jquery-confirm.min.css?ver=2.0.7	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/themes/essentials/css/jquery-confirm.min5d0a.css	(from https://noxxit.com/)
00:40:47	11134/11134	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:04%20GMT	https://noxxit.com/wp-content/themes/essentials/css/build/bootstrap-select.min.css?ver=2.0.7	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/themes/essentials/css/build/bootstrap-select.min5d0a.css	(from https://noxxit.com/)
00:40:48	493754/493754	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2016:17:10%20GMT	https://noxxit.com/wp-content/uploads/wp-scss-cache/pix-essentials-style-2.css?ver=1699028230	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/wp-scss-cache/pix-essentials-style-27ea6.css	(from https://noxxit.com/)
00:40:50	79168/79168	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:10%20GMT	https://noxxit.com/wp-content/plugins/masterslider/public/assets/css/masterslider.main.css?ver=3.5.9	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/masterslider/public/assets/css/masterslider.main02dd.css	(from https://noxxit.com/)
00:40:51	266/266	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2000:38:02%20GMT	https://noxxit.com/wp-content/uploads/masterslider/custom.css?ver=1.1	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/masterslider/custom4963.css	(from https://noxxit.com/)
00:40:52	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Oct%202022%2000:38:14%20GMT	https://noxxit.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://noxxit.com/)
00:40:54	11224/11224	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Oct%202022%2000:38:14%20GMT	https://noxxit.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://noxxit.com/)
00:40:55	711/711	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Oct%202022%2000:38:10%20GMT	https://noxxit.com/wp-content/plugins/masterslider/includes/modules/elementor/assets/js/elementor-widgets.js?ver=3.5.9	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/masterslider/includes/modules/elementor/assets/js/elementor-widgets02dd.js	(from https://noxxit.com/)
00:40:57	15073/15073	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2029%20Jun%202024%2008:21:03%20GMT	https://noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.22.3	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mindcff.js	(from https://noxxit.com/)
00:41:01	43009/43009	---MCZ	200	added ('OK')	application/json	date:Tue,%2009%20Jul%202024%2023:40:52%20GMT	https://noxxit.com/wp-json/wp/v2/pages/3049	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-json/wp/v2/pages/3049.json	(from https://noxxit.com/)
00:41:02	194347/194347	---MCZ	200	added ('OK')	application/json	date:Tue,%2009%20Jul%202024%2023:40:52%20GMT	https://noxxit.com/wp-json/	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-json/index.html	(from https://noxxit.com/)
00:41:08	2386/2386	---MCZ	200	added ('OK')	application/json	date:Tue,%2009%20Jul%202024%2023:40:56%20GMT	https://noxxit.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoxxit.com%2F	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-json/oembed/1.0/embed3295.json	(from https://noxxit.com/)
00:41:13	2454/2454	---MCZ	200	added ('OK')	text/xml	date:Tue,%2009%20Jul%202024%2023:41:02%20GMT	https://noxxit.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoxxit.com%2F&format=xml	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-json/oembed/1.0/embed88b0	(from https://noxxit.com/)
00:41:22	326/326	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2000:38:10%20GMT	https://noxxit.com/wp-content/plugins/masterslider/public/assets/css/common/grabbing.cur	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/masterslider/public/assets/css/common/grabbing.html	(from https://noxxit.com/)
00:41:24	326/326	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2000:38:10%20GMT	https://noxxit.com/wp-content/plugins/masterslider/public/assets/css/common/grab.cur	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/plugins/masterslider/public/assets/css/common/grab.html	(from https://noxxit.com/)
00:41:25	760/760	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Nov%202023%2011:07:54%20GMT	https://noxxit.com/wp-content/uploads/2023/11/cropped-favic-32x32.jpg	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/2023/11/cropped-favic-32x32.jpg	(from https://noxxit.com/)
00:41:29	1926/1926	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Nov%202023%2011:07:54%20GMT	https://noxxit.com/wp-content/uploads/2023/11/cropped-favic-192x192.jpg	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/2023/11/cropped-favic-192x192.jpg	(from https://noxxit.com/)
00:41:38	1848/1848	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Nov%202023%2011:07:54%20GMT	https://noxxit.com/wp-content/uploads/2023/11/cropped-favic-180x180.jpg	C:/My%20Web%20Sites/noxxit.com/noxxit.com/wp-content/uploads/2023/11/cropped-favic-180x180.jpg	(from https://noxxit.com/)
